Date,Open,High,Low,Close
08-06-2004,78.4,79.22,76.61,77.47
09-06-2004,77.5,81.22,77.38,79.93
10-06-2004,81.25,91.25,80,87.24
11-06-2004,91.26,102,91.26,93.61
14-06-2004,93.39,93.75,85.75,86.35
15-06-2004,88,89.25,85.71,86.81
16-06-2004,87.5,87.85,85.5,85.91
17-06-2004,85.63,86.93,85.63,86.16
18-06-2004,86.36,93.25,86.36,88.97
21-06-2004,90,92,86.8,88.03
22-06-2004,88,88.25,85.5,85.97
23-06-2004,86.88,87.5,82.82,84.3
24-06-2004,84.99,86.5,83.28,85.7
25-06-2004,85,87.5,85,85.7
28-06-2004,87.2,91.25,87.2,89.85
29-06-2004,91.25,91.47,88.13,89.24
30-06-2004,89,90.25,87,87.25
01-07-2004,88.49,88.96,87.53,88.35
02-07-2004,89.5,93,89.5,91.44
05-07-2004,91,91.63,87.75,88.38
06-07-2004,88.14,90,88.14,89.21
07-07-2004,90,90.75,87.5,88.11
08-07-2004,87.5,90.04,83.74,84.44
09-07-2004,78.78,86.25,78.06,85.63
12-07-2004,86.25,88.21,85,87.3
13-07-2004,88.76,90.25,88,88.34
14-07-2004,89.99,92.5,88.88,90.61
15-07-2004,91.75,91.95,90.56,90.9
16-07-2004,93.72,95.5,92.53,93.97
19-07-2004,95.25,97.2,93.75,95.41
20-07-2004,96,98.25,94.78,97.19
21-07-2004,99.76,99.76,95.5,96.32
22-07-2004,97.5,97.5,95.51,95.82
23-07-2004,97.5,97.5,95.78,96.86
26-07-2004,97,97.38,96.13,96.94
28-07-2004,100.5,103,99,101.06
29-07-2004,101.5,101.96,99,100.26
30-07-2004,102.25,102.25,100,100.14
02-08-2004,99.81,100.75,99.75,100.03
03-08-2004,100.25,100.69,99.54,99.9
04-08-2004,95,100.18,95,99.95
05-08-2004,99.75,100.7,98.25,98.85
06-08-2004,98.28,99.9,97.5,97.56
09-08-2004,97.51,98.75,95.32,98.47
10-08-2004,101.22,101.38,98.38,101.2
11-08-2004,101.56,109,100.5,106.3
13-08-2004,110,111.75,105,106.88
16-08-2004,104.75,106.07,101.79,102.4
17-08-2004,104,105.86,102,102.41
18-08-2004,103.38,104.47,102,102.44
19-08-2004,103.5,104.38,103.13,104.06
20-08-2004,102.75,104.22,102.4,102.71
23-08-2004,97.61,109.75,97.61,107.01
24-08-2004,109.95,116.44,108.5,115.18
25-08-2004,149.84,149.84,122.38,123.49
26-08-2004,124,124.63,121.91,122.38
27-08-2004,122.8,122.8,119.82,120.33
30-08-2004,121.24,123.75,120.63,123.35
31-08-2004,123.31,123.75,122,123.51
01-09-2004,123.75,124.38,122.95,123.49
02-09-2004,123.74,125.57,123.25,124.21
03-09-2004,125.75,137.5,123.79,124.73
06-09-2004,129.99,129.99,124.11,124.36
07-09-2004,129.38,129.38,124.38,124.45
08-09-2004,124.5,125.1,123.89,124.21
09-09-2004,124.63,124.74,122.31,122.5
10-09-2004,123.75,123.75,122,123.6
13-09-2004,123.88,126.94,123.88,125.44
14-09-2004,125.63,127.35,125.37,126.96
15-09-2004,127.25,127.5,125.15,125.76
16-09-2004,125.88,126.88,125.31,126.06
17-09-2004,126.5,128.74,126.29,128.06
20-09-2004,129.05,129.61,127.52,127.86
21-09-2004,128.11,131.06,127.75,130.73
22-09-2004,131.05,132,129.64,131.51
23-09-2004,131,131.13,128.38,128.78
24-09-2004,128.64,130,128.25,128.6
27-09-2004,128.44,129.06,126.88,127.6
28-09-2004,127,128.43,126.56,126.94
29-09-2004,127.41,129.13,127.02,128.88
30-09-2004,129.45,130.11,127.58,128.39
01-10-2004,128.63,132.06,128.29,130.96
04-10-2004,132.13,135.13,131.81,134.56
05-10-2004,135.04,136.13,134.44,135.09
06-10-2004,135.13,137.85,134.38,135.2
07-10-2004,135.38,137.5,135.38,137.14
08-10-2004,137.25,138.88,136.88,137.26
11-10-2004,137.5,138.94,135.63,136.16
12-10-2004,138.75,139.38,134.71,135.56
14-10-2004,137.88,140.5,136.01,139.52
15-10-2004,140.21,142.63,139.66,140.75
18-10-2004,141.75,142.75,140.66,142.16
19-10-2004,142.52,143.59,142.01,142.9
20-10-2004,143.1,143.74,141.13,141.66
21-10-2004,142.16,142.38,140.25,140.7
25-10-2004,140.63,140.88,138.85,139.67
26-10-2004,139.45,142.62,139.45,142.15
27-10-2004,142.78,143.5,141.9,142.49
28-10-2004,143.13,146.85,143.13,145.74
29-10-2004,145.99,145.99,143.15,144.53
01-11-2004,143.75,146.81,142.79,146.33
02-11-2004,141.25,147.47,140.63,144.96
03-11-2004,145.13,148,145.13,146.9
04-11-2004,147.72,148.49,145.96,146.3
05-11-2004,146.74,147.5,145,145.68
08-11-2004,145.63,148.61,144.5,148.02
09-11-2004,148.38,149.74,147.13,148.55
10-11-2004,148.88,149.88,148.76,149.29
11-11-2004,149.88,150.43,148.89,149.53
12-11-2004,150.5,151,148.77,149.6
16-11-2004,149.75,149.75,148,148.86
17-11-2004,148.94,151.24,148.94,150.68
18-11-2004,151.18,154.32,150.81,153.88
19-11-2004,154.13,154.63,151.39,152.14
22-11-2004,150.98,153.25,149.38,152.81
23-11-2004,153.82,155.25,153.02,154.45
24-11-2004,154.88,155.63,153.77,154.24
25-11-2004,154.25,155.5,151.08,152.11
29-11-2004,152,155.96,150.7,155.49
30-11-2004,156.02,160.75,155.63,159.33
01-12-2004,160.13,160.13,157.13,157.7
02-12-2004,158.13,159.63,154.89,155.32
03-12-2004,156.16,156.99,152.7,154.6
06-12-2004,155,156.25,151.06,151.82
07-12-2004,152,154.11,151.88,152.28
08-12-2004,152.25,153.32,149.51,150.1
09-12-2004,150.62,152.13,150.61,151.43
10-12-2004,152.5,154.44,151.75,153.21
13-12-2004,153.25,155.21,153.16,154.52
14-12-2004,155.25,155.59,153.79,154.15
15-12-2004,155.5,156.85,154.75,155.69
16-12-2004,156.06,158.13,154.75,157.83
17-12-2004,157.5,159.35,156.51,157.06
20-12-2004,157.5,158.56,157.06,157.82
21-12-2004,158.12,159.63,157.9,159.09
22-12-2004,159.39,159.39,153.75,155.02
23-12-2004,155.96,155.96,153.13,153.48
